,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
25749,2003-06-11,England,Slovakia,2,1,UEFA Euro qualification,Middlesbrough,England,False,England
25751,2003-06-11,Faroe Islands,Germany,0,2,UEFA Euro qualification,Tórshavn,Faroe Islands,False,Germany
25752,2003-06-11,Finland,Italy,0,2,UEFA Euro qualification,Helsinki,Finland,False,Italy
25753,2003-06-11,Greece,Ukraine,1,0,UEFA Euro qualification,Athens,Greece,False,Greece
25761,2003-06-11,Northern Ireland,Spain,0,0,UEFA Euro qualification,Belfast,Northern Ireland,False,Draw
25772,2003-06-18,France,Colombia,1,0,Confederations Cup,Lyon,France,False,France
25779,2003-06-20,France,Japan,2,1,Confederations Cup,Saint-Étienne,France,False,France
25791,2003-06-22,France,New Zealand,5,0,Confederations Cup,Saint-Denis,France,False,France
25805,2003-06-26,France,Turkey,3,2,Confederations Cup,Saint-Denis,France,False,France
25809,2003-06-29,France,Cameroon,1,0,Confederations Cup,Saint-Denis,France,False,France
25937,2003-08-20,Belgium,Netherlands,1,1,Friendly,Brussels,Belgium,False,Draw
25943,2003-08-20,England,Croatia,3,1,Friendly,Ipswich,England,False,England
25946,2003-08-20,Germany,Italy,0,1,Friendly,Stuttgart,Germany,False,Italy
25952,2003-08-20,Norway,Scotland,0,0,Friendly,Oslo,Norway,False,Draw
25954,2003-08-20,Portugal,Kazakhstan,1,0,Friendly,Chaves,Portugal,False,Portugal
25958,2003-08-20,Sweden,Greece,1,2,Friendly,Norrköping,Sweden,False,Greece
25959,2003-08-20,Switzerland,France,0,2,Friendly,Geneva,Switzerland,False,France
25976,2003-09-06,Armenia,Greece,0,1,UEFA Euro qualification,Yerevan,Armenia,False,Greece
25982,2003-09-06,France,Cyprus,5,0,UEFA Euro qualification,Saint-Denis,France,False,France
25984,2003-09-06,Iceland,Germany,0,0,UEFA Euro qualification,Reykjavík,Iceland,False,Draw
25986,2003-09-06,Italy,Wales,4,0,UEFA Euro qualification,Milan,Italy,False,Italy
25989,2003-09-06,North Macedonia,England,1,2,UEFA Euro qualification,Skopje,North Macedonia,False,England
25990,2003-09-06,Netherlands,Austria,3,1,UEFA Euro qualification,Rotterdam,Netherlands,False,Netherlands
25992,2003-09-06,Portugal,Spain,0,3,Friendly,Guimarães,Portugal,False,Spain
25994,2003-09-06,Scotland,Faroe Islands,3,1,UEFA Euro qualification,Glasgow,Scotland,False,Scotland
26009,2003-09-10,Belgium,Croatia,2,1,UEFA Euro qualification,Brussels,Belgium,False,Belgium
26012,2003-09-10,Czech Republic,Netherlands,3,1,UEFA Euro qualification,Prague,Czech Republic,False,Czech Republic
26014,2003-09-10,England,Liechtenstein,2,0,UEFA Euro qualification,Manchester,England,False,England
26016,2003-09-10,Germany,Scotland,2,1,UEFA Euro qualification,Dortmund,Germany,False,Germany
26024,2003-09-10,Norway,Portugal,0,1,Friendly,Oslo,Norway,False,Portugal
26029,2003-09-10,Serbia,Italy,1,1,UEFA Euro qualification,Belgrade,Serbia and Montenegro,False,Draw
26031,2003-09-10,Slovenia,France,0,2,UEFA Euro qualification,Ljubljana,Slovenia,False,France
26032,2003-09-10,Spain,Ukraine,2,1,UEFA Euro qualification,Elche,Spain,False,Spain
26081,2003-10-11,Armenia,Spain,0,4,UEFA Euro qualification,Yerevan,Armenia,False,Spain
26083,2003-10-11,Belgium,Estonia,2,0,UEFA Euro qualification,Liège,Belgium,False,Belgium
26091,2003-10-11,France,Israel,3,0,UEFA Euro qualification,Saint-Denis,France,False,France
26092,2003-10-11,Germany,Iceland,3,0,UEFA Euro qualification,Hamburg,Germany,False,Germany
26093,2003-10-11,Greece,Northern Ireland,1,0,UEFA Euro qualification,Athens,Greece,False,Greece
26095,2003-10-11,Italy,Azerbaijan,4,0,UEFA Euro qualification,Reggio di Calabria,Italy,False,Italy
26098,2003-10-11,Netherlands,Moldova,5,0,UEFA Euro qualification,Eindhoven,Netherlands,False,Netherlands
26101,2003-10-11,Portugal,Albania,5,3,Friendly,Lisbon,Portugal,False,Portugal
26105,2003-10-11,Scotland,Lithuania,1,0,UEFA Euro qualification,Glasgow,Scotland,False,Scotland
26112,2003-10-11,Turkey,England,0,0,UEFA Euro qualification,Istanbul,Turkey,False,Draw
26179,2003-11-12,Poland,Italy,3,1,Friendly,Warsaw,Poland,False,Poland
26192,2003-11-15,Germany,France,0,3,Friendly,Gelsenkirchen,Germany,False,France
26199,2003-11-15,Portugal,Greece,1,1,Friendly,Aveiro,Portugal,False,Draw
26201,2003-11-15,Scotland,Netherlands,1,0,UEFA Euro qualification,Glasgow,Scotland,False,Scotland
26203,2003-11-15,Spain,Norway,2,1,UEFA Euro qualification,Valencia,Spain,False,Spain
26209,2003-11-16,England,Denmark,2,3,Friendly,Manchester,England,False,Denmark
26213,2003-11-16,Italy,Romania,1,0,Friendly,Ancona,Italy,False,Italy
26244,2003-11-19,Netherlands,Scotland,6,0,UEFA Euro qualification,Amsterdam,Netherlands,False,Netherlands
26245,2003-11-19,Norway,Spain,0,3,UEFA Euro qualification,Oslo,Norway,False,Spain
26246,2003-11-19,Portugal,Kuwait,8,0,Friendly,Leiria,Portugal,False,Portugal
26412,2004-02-18,Belgium,France,0,2,Friendly,Brussels,Belgium,False,France
26414,2004-02-18,Croatia,Germany,1,2,Friendly,Split,Croatia,False,Germany
26417,2004-02-18,Greece,Bulgaria,2,0,Friendly,Athens,Greece,False,Greece
26424,2004-02-18,Italy,Czech Republic,2,2,Friendly,Palermo,Italy,False,Draw
26436,2004-02-18,Netherlands,United States,1,0,Friendly,Amsterdam,Netherlands,False,Netherlands
26440,2004-02-18,Portugal,England,1,1,Friendly,Faro,Portugal,False,Draw
26443,2004-02-18,Spain,Peru,2,1,Friendly,Barcelona,Spain,False,Spain
26450,2004-02-18,Wales,Scotland,4,0,Friendly,Cardiff,Wales,False,Wales
26507,2004-03-31,Germany,Belgium,3,0,Friendly,Cologne,Germany,False,Germany
26508,2004-03-31,Greece,Switzerland,1,0,Friendly,Heraklion,Greece,False,Greece
26525,2004-03-31,Netherlands,France,0,0,Friendly,Rotterdam,Netherlands,False,Draw
26530,2004-03-31,Portugal,Italy,1,2,Friendly,Braga,Portugal,False,Italy
26531,2004-03-31,Scotland,Romania,1,2,Friendly,Glasgow,Scotland,False,Romania
26536,2004-03-31,Spain,Denmark,2,0,Friendly,Gijón,Spain,False,Spain
26539,2004-03-31,Sweden,England,1,0,Friendly,Gothenburg,Sweden,False,Sweden
26561,2004-04-28,Belgium,Turkey,2,3,Friendly,Brussels,Belgium,False,Turkey
26566,2004-04-28,Denmark,Scotland,1,0,Friendly,Copenhagen,Denmark,False,Denmark
26573,2004-04-28,Italy,Spain,1,1,Friendly,Genoa,Italy,False,Draw
26582,2004-04-28,Netherlands,Greece,4,0,Friendly,Eindhoven,Netherlands,False,Netherlands
26587,2004-04-28,Portugal,Sweden,2,2,Friendly,Coimbra,Portugal,False,Draw
26588,2004-04-28,Romania,Germany,5,1,Friendly,Bucharest,Romania,False,Romania
26629,2004-05-20,France,Brazil,0,0,Friendly,Saint-Denis,France,False,Draw
26645,2004-05-27,Estonia,Scotland,0,1,Friendly,Tallinn,Estonia,False,Scotland
26647,2004-05-27,Germany,Malta,7,0,Friendly,Freiburg,Germany,False,Germany
26652,2004-05-28,France,Andorra,4,0,Friendly,Montpellier,France,False,France
26659,2004-05-29,Netherlands,Belgium,0,1,Friendly,Eindhoven,Netherlands,False,Belgium
26660,2004-05-29,Poland,Greece,1,0,Friendly,Szczecin,Poland,False,Poland
26661,2004-05-29,Portugal,Luxembourg,3,0,Friendly,Águeda,Portugal,False,Portugal
26670,2004-05-30,Scotland,Trinidad and Tobago,4,1,Friendly,Edinburgh,Scotland,False,Scotland
26672,2004-05-30,Tunisia,Italy,0,4,Friendly,Radès,Tunisia,False,Italy
26684,2004-06-01,England,Japan,1,1,Friendly,Manchester,England,False,Draw
26686,2004-06-01,Netherlands,Faroe Islands,3,0,Friendly,Lausanne,Switzerland,True,Netherlands
26698,2004-06-02,Switzerland,Germany,0,2,Friendly,Basel,Switzerland,False,Germany
26703,2004-06-03,Liechtenstein,Greece,0,2,Friendly,Vaduz,Liechtenstein,False,Greece
26713,2004-06-05,England,Iceland,6,1,Friendly,Manchester,England,False,England
26717,2004-06-05,Netherlands,Republic of Ireland,0,1,Friendly,Amsterdam,Netherlands,False,Republic of Ireland
26719,2004-06-05,Portugal,Lithuania,4,1,Friendly,Setúbal,Portugal,False,Portugal
26723,2004-06-05,Spain,Andorra,4,0,Friendly,Getafe,Spain,False,Spain
26734,2004-06-06,France,Ukraine,1,0,Friendly,Saint-Denis,France,False,France
26735,2004-06-06,Germany,Hungary,0,2,Friendly,Kaiserslautern,Germany,False,Hungary
26765,2004-06-12,Portugal,Greece,1,2,UEFA Euro,Porto,Portugal,False,Greece
26766,2004-06-12,Spain,Russia,1,0,UEFA Euro,Faro,Portugal,True,Spain
26774,2004-06-13,France,England,2,1,UEFA Euro,Lisbon,Portugal,True,France
26779,2004-06-14,Denmark,Italy,0,0,UEFA Euro,Guimarães,Portugal,True,Draw
26783,2004-06-15,Germany,Netherlands,1,1,UEFA Euro,Porto,Portugal,True,Draw
26785,2004-06-16,Greece,Spain,1,1,UEFA Euro,Porto,Portugal,True,Draw
26786,2004-06-16,Portugal,Russia,2,0,UEFA Euro,Lisbon,Portugal,False,Portugal
26787,2004-06-17,Croatia,France,2,2,UEFA Euro,Leiria,Portugal,True,Draw
26788,2004-06-17,England,Switzerland,3,0,UEFA Euro,Coimbra,Portugal,True,England
26792,2004-06-18,Italy,Sweden,1,1,UEFA Euro,Porto,Portugal,True,Draw
26799,2004-06-19,Latvia,Germany,0,0,UEFA Euro,Porto,Portugal,True,Draw
26801,2004-06-19,Netherlands,Czech Republic,2,3,UEFA Euro,Aveiro,Portugal,True,Czech Republic
26817,2004-06-20,Portugal,Spain,1,0,UEFA Euro,Lisbon,Portugal,False,Portugal
26818,2004-06-20,Russia,Greece,2,1,UEFA Euro,Faro,Portugal,True,Russia
26823,2004-06-21,Croatia,England,2,4,UEFA Euro,Lisbon,Portugal,True,England
26826,2004-06-21,Switzerland,France,1,3,UEFA Euro,Coimbra,Portugal,True,France
26828,2004-06-22,Italy,Bulgaria,2,1,UEFA Euro,Guimarães,Portugal,True,Italy
26829,2004-06-23,Germany,Czech Republic,1,2,UEFA Euro,Lisbon,Portugal,True,Czech Republic
26832,2004-06-23,Netherlands,Latvia,3,0,UEFA Euro,Braga,Portugal,True,Netherlands
26833,2004-06-24,Portugal,England,2,2,UEFA Euro,Lisbon,Portugal,False,Draw
